time,close,Volume
-286675200,1381140000000,NaN
-255139200,1446360000000,NaN
-223603200,1546370000000,NaN
-192067200,1670670000000,NaN
-160444800,1832620000000,NaN
-128908800,1994520000000,NaN
-97372800,2161639999999.9998,NaN
-65836800,2308600000000,NaN
-34214400,2491800000000,NaN
-2678400,2745220000000,NaN
28857600,3009970000000,NaN
60393600,3323040000000,NaN
92016000,3835300000000,NaN
123552000,4655920000000,NaN
155088000,5333770000000,NaN
186624000,5965070000000,NaN
218246400,6480250000000,NaN
249782400,7329900000000,NaN
281318400,8738280000000.001,NaN
312854400,10163180000000,NaN
344476800,11495790000000,NaN
376012800,11853210000000,NaN
407548800,11684060000000,NaN
439084800,12000650000000,NaN
470707200,12460880000000,NaN
502243200,12977170000000,NaN
533779200,15348790000000,NaN
565315200,17551009999999.998,NaN
596937600,19641100000000,NaN
628473600,20434560000000,NaN
660009600,22935040000000,NaN
691545600,23932510000000,NaN
723168000,25623910000000,NaN
754704000,26235070000000,NaN
786240000,27997510000000,NaN
817776000,31175460000000,NaN
849398400,31899770000000,NaN
880934400,31797630000000,NaN
912470400,31748590000000,NaN
944006400,32784570000000,NaN
975628800,33898970000000,NaN
1007164800,33689210000000,NaN
1038700800,34982489999999.996,NaN
1070236800,39219230000000,NaN
1101859200,44195420000000,NaN
1133395200,47859240000000,NaN
1164931200,51862620000000,NaN
1196467200,58446780000000,NaN
1228089600,64227650000000,NaN
1259625600,60885970000000,NaN
1291161600,66707070000000.01,NaN
1322697600,73965140000000,NaN
1354320000,75612550000000,NaN
1385856000,77714720000000,NaN
1417392000,79837160000000,NaN
1448928000,75283270000000,NaN
1480550400,76518980000000,NaN
1512086400,81484100000000,NaN
1543622400,86542680000000,NaN
1575158400,87777400000000,NaN
1606780800,85257740000000,NaN
1638316800,97529680000000,NaN
1669852800,101225100000000,NaN
1701388800,105435000000000,NaN
